underlying_market_ticker,side,game,label,combos,positive_settlement_combos,combo_share
KXNFLGAME-26SEP13TBCIN-TB,yes,TB @ CIN,Tampa Bay | moneyline | YES,342,0,0.0703125
KXNFLGAME-26SEP13ATLPIT-ATL,yes,ATL @ PIT,Atlanta | moneyline | YES,321,0,0.06599506578947369
KXNFLGAME-26SEP13NODET-NO,yes,NO @ DET,New Orleans | moneyline | YES,318,0,0.06537828947368421
KXNFLGAME-26SEP13BUFHOU-HOU,yes,BUF @ HOU,Houston | moneyline | YES,306,0,0.06291118421052631
KXNFLGAME-26SEP13ARILAC-LAC,yes,ARI @ LAC,Los Angeles C | moneyline | YES,305,0,0.06270559210526316
KXNFLGAME-26SEP13CHICAR-CAR,yes,CHI @ CAR,Carolina | moneyline | YES,300,0,0.061677631578947366
KXNFLGAME-26SEP13GBMIN-MIN,yes,GB @ MIN,Minnesota | moneyline | YES,300,15,0.061677631578947366
KXNFLGAME-26SEP13MIALV-MIA,yes,MIA @ LV,Miami | moneyline | YES,298,0,0.06126644736842105
KXNFLGAME-26SEP13DALNYG-DAL,yes,DAL @ NYG,Dallas | moneyline | YES,273,0,0.056126644736842105
KXNFLGAME-26SEP13WASPHI-WAS,yes,WAS @ PHI,Washington | moneyline | YES,264,0,0.054276315789473686
KXNFLGAME-26SEP13BUFHOU-BUF,yes,BUF @ HOU,Buffalo | moneyline | YES,259,19,0.053248355263157895
KXNFLGAME-26SEP13GBMIN-GB,yes,GB @ MIN,Green Bay | moneyline | YES,245,0,0.050370065789473686
KXNFLGAME-26SEP13CLEJAC-CLE,yes,CLE @ JAC,Cleveland | moneyline | YES,238,0,0.04893092105263158
KXNFLGAME-26SEP13NYJTEN-TEN,yes,NYJ @ TEN,Tennessee | moneyline | YES,227,0,0.04666940789473684
KXNFLGAME-26SEP13BALIND-IND,yes,BAL @ IND,Indianapolis | moneyline | YES,219,0,0.04502467105263158
KXNFLGAME-26SEP13ARILAC-ARI,yes,ARI @ LAC,Arizona | moneyline | YES,205,25,0.042146381578947366
KXNFLGAME-26SEP13DALNYG-NYG,yes,DAL @ NYG,New York G | moneyline | YES,205,25,0.042146381578947366
KXNFLGAME-26SEP13WASPHI-PHI,yes,WAS @ PHI,Philadelphia | moneyline | YES,202,3,0.041529605263157895
KXNFLGAME-26SEP13CHICAR-CHI,yes,CHI @ CAR,Chicago | moneyline | YES,182,8,0.03741776315789474
KXNFLGAME-26SEP13NODET-DET,yes,NO @ DET,Detroit | moneyline | YES,182,6,0.03741776315789474
KXNFLGAME-26SEP13NYJTEN-NYJ,yes,NYJ @ TEN,New York J | moneyline | YES,151,4,0.031044407894736843
KXNFLGAME-26SEP13MIALV-LV,yes,MIA @ LV,Las Vegas | moneyline | YES,148,7,0.03042763157894737
KXNFLGAME-26SEP13BALIND-BAL,yes,BAL @ IND,Baltimore | moneyline | YES,147,7,0.03022203947368421
KXNFLGAME-26SEP13ATLPIT-PIT,yes,ATL @ PIT,Pittsburgh | moneyline | YES,138,2,0.02837171052631579
KXNFLSPREAD-26SEP13NODET-DET7,yes,NO @ DET,Detroit | spread 6.5 | YES,106,0,0.021792763157894735
KXNFLSPREAD-26SEP13ARILAC-LAC10,yes,ARI @ LAC,Los Angeles C | spread 9.5 | YES,98,0,0.020148026315789474
KXNFLGAME-26SEP13TBCIN-CIN,yes,TB @ CIN,Cincinnati | moneyline | YES,91,0,0.01870888157894737
KXNFLSPREAD-26SEP13WASPHI-PHI7,yes,WAS @ PHI,Philadelphia | spread 6.5 | YES,90,0,0.01850328947368421
KXNFLSPREAD-26SEP13NODET-DET8,yes,NO @ DET,Detroit | spread 7.5 | YES,85,0,0.01747532894736842
KXNFLGAME-26SEP13CLEJAC-JAC,yes,CLE @ JAC,Jacksonville | moneyline | YES,80,2,0.01644736842105263
KXNFLSPREAD-26SEP13ATLPIT-PIT7,yes,ATL @ PIT,Pittsburgh | spread 6.5 | YES,75,8,0.015419407894736841
