forecast,bin,combos,mean_forecast,mean_settlement
Combo trade price,0.0,637.0,0.05222243206078285,0.009419152276295133
Combo trade price,1.0,1319.0,0.1471189850323674,0.11751326762699014
Combo trade price,2.0,849.0,0.24854571854057933,0.24852767962308597
Combo trade price,3.0,452.0,0.34131070351665843,0.4247787610619469
Combo trade price,4.0,204.0,0.4439687900862471,0.553921568627451
Combo trade price,5.0,104.0,0.5410788179741726,0.6538461538461539
Combo trade price,6.0,36.0,0.6398218601525678,0.6666666666666666
Combo trade price,7.0,20.0,0.7469967646336894,0.55
Combo trade price,8.0,7.0,0.8386571304108176,0.7142857142857143
Combo trade price,9.0,1.0,0.9524216397099832,1.0
Component midpoint product,0.0,648.0,0.053879766867376735,0.012345679012345678
Component midpoint product,1.0,1328.0,0.1467096237581646,0.11671686746987951
Component midpoint product,2.0,847.0,0.24787939439377035,0.26210153482880755
Component midpoint product,3.0,443.0,0.3395699196370159,0.4153498871331828
Component midpoint product,4.0,204.0,0.44390862158821554,0.553921568627451
Component midpoint product,5.0,98.0,0.5408758815876341,0.6836734693877551
Component midpoint product,6.0,34.0,0.6422742358376728,0.5882352941176471
Component midpoint product,7.0,19.0,0.7421062033962939,0.5263157894736842
Component midpoint product,8.0,7.0,0.8577091071428572,0.8571428571428571
Component midpoint product,9.0,1.0,0.9682668417301852,1.0
