excluded_game,combos,equal_combo_net_per_contract,equal_combo_net_total
ARI @ LAC,3659,0.018102479674860786,66.23697313031562
ATL @ PIT,3870,0.018127621336179397,70.15389457101426
BAL @ IND,3980,0.024187568342413767,96.2665220028068
BUF @ HOU,3704,0.019860784957683196,73.56434748325856
CHI @ CAR,3793,0.022087272744284514,83.77702551907116
CLE @ JAC,4145,0.01687182381089909,69.93370969617672
DAL @ NYG,3930,0.021627490038533426,84.99603585143636
GB @ MIN,3734,0.013738042076963409,51.29784911538137
MIA @ LV,3892,0.01508781025531654,58.721757513691976
NO @ DET,3559,0.01700122328778685,60.5073536812334
NYJ @ TEN,4060,0.017161634131276676,69.6762345729833
TB @ CIN,3994,0.013628388058202939,54.43178190446254
WAS @ PHI,3689,0.011895743507092731,43.88339779766508
