combos,fills,contracts,mean_vwap,mean_settlement,full_yes_settlement_rate,any_positive_settlement_rate,equal_combo_net_per_contract,volume_weighted_net_per_contract,p05_net_per_contract,median_net_per_contract,p95_net_per_contract,worst_net_per_contract,scope,price_bucket_low_cents,price_bucket_high_cents
2492,11092,8604072.68,0.026593816991319776,0.012909309791332264,0.012841091492776886,0.013242375601926164,0.011885793348853806,0.012547663552342048,0.003933258244198336,0.02422732,0.04386463,-0.9888299199999999,cross_game,0,5
3051,10924,3864567.0100000002,0.074956681264313,0.043398885611274994,0.043264503441494594,0.04359226483120288,0.026719235313768765,0.010351966654188189,0.046675,0.06920332,0.09021578801936772,-0.953325,cross_game,5,10
4936,12911,3816865.7800000003,0.12595556347590464,0.09571920583468396,0.09562398703403566,0.09582658022690438,0.022544394539869717,0.047228979905590204,-0.8774119816143133,0.11639631999999998,0.13822262999999999,-0.9063000000000001,cross_game,10,15
4240,13423,3207718.95,0.17357115166005804,0.14445518867924528,0.14433962264150943,0.14504716981132076,0.01909033303215758,0.018004537724812808,-0.84083073,0.15821568000000003,0.18496912,-0.858925,cross_game,15,20
3819,15077,3050813.01,0.2243614894719624,0.18333595181984813,0.1832940560356114,0.18355590468709085,0.028858563151860472,-0.024885732436952815,-0.79777428,0.20702726999999999,0.23277922949648128,-0.8112000000000001,cross_game,20,25
3269,15882,7075935.600000001,0.2738315953736534,0.2282043438360355,0.2282043438360355,0.2282043438360355,0.03172286360636159,0.13746684618804622,-0.75250153,0.25233292,0.28044175,-0.763125,cross_game,25,30
2488,17485,3708584.4000000004,0.32255227729007546,0.2608520900321543,0.2608520900321543,0.2608520900321543,0.04641920964582347,0.06657901039649816,-0.70594633,0.29768886663843985,0.32918175,-0.7147,cross_game,30,35
1937,13950,3116063.6,0.37428609348871283,0.3216313887454827,0.3216313887454827,0.3216313887454827,0.03627573164906569,-0.06800638575269458,-0.6580885200000001,0.34681383,0.37827175,-0.6659250000000001,cross_game,35,40
1618,13804,3179788.76,0.4240966349074099,0.3473423980222497,0.3473423980222497,0.3473423980222497,0.05967244571920532,0.0023200491707325104,-0.6100058032958438,0.39405447,0.42771175,-0.6168,cross_game,40,45
1433,15871,3568953.6500000004,0.4731551788387452,0.36985345429169575,0.36985345429169575,0.36985345429169575,0.08586609878109722,0.15800003618882877,-0.55937652,0.44161767,0.47568307945323385,-0.5673250000000001,cross_game,45,50
1009,6992,1838221.93,0.5230973517527302,0.4261645193260654,0.4261645193260654,0.4261645193260654,0.07948517991811055,0.08789671202885178,-0.51149748,0.48661883943157896,0.5255908259095697,-0.5175000000000001,cross_game,50,55
765,8093,2034671.4100000001,0.5725634785713909,0.43529411764705883,0.43529411764705883,0.43529411764705883,0.12015348980633375,0.16611634271536432,-0.4611627411303795,0.53670412,0.57711852,-0.467325,cross_game,55,60
542,3561,1053013.68,0.6202645259930155,0.4354243542435424,0.4354243542435424,0.4354243542435424,0.16836625673289,0.41451718963992984,-0.40968151876365594,0.58725712,0.6238720000000001,-0.41680000000000006,cross_game,60,65
304,1277,336141.68000000005,0.673082641695139,0.6118421052631579,0.6118421052631579,0.6118421052631579,0.04585158901654223,-0.014077094221826325,-0.3608696367257045,-0.330661077903745,0.675027,-0.36592500000000006,cross_game,65,70
279,1143,417945.45999999996,0.7250059856733472,0.6594982078853047,0.6594982078853047,0.6594982078853047,0.05156780174406097,-0.08846426272324484,-0.30966111300000004,-0.27450153,0.7254944011176806,-0.3147000000000001,cross_game,70,75
235,992,478258.81999999995,0.7727597365639503,0.6680851063829787,0.6680851063829787,0.6680851063829787,0.09239734909627406,-0.1394642642554421,-0.259294527,-0.22838847786656494,0.776854379357678,-0.263125,cross_game,75,80
231,734,330467.94,0.8251391073386495,0.70995670995671,0.70995670995671,0.70995670995671,0.10509773435291815,-0.05145924862274535,-0.20598824999999996,-0.17464425000000006,0.8300682349999999,-0.21119999999999994,cross_game,80,85
237,1084,410142.78,0.8736307947426173,0.8776371308016878,0.8776371308016878,0.8776371308016878,-0.011717939047503435,-0.10813953102029054,-0.15598724000000003,-0.13160368,0.85997968,-0.15892500000000004,cross_game,85,90
232,762,276989.39999999997,0.9248390575059677,0.9310344827586207,0.9310344827586207,0.9310344827586207,-0.0110464594974428,-0.06955588513537737,-0.10207487999999997,-0.07773696999999995,0.9020468380000001,-0.10629999999999998,cross_game,90,95
666,2619,544498.78,0.9849713532880249,1.0,1.0,1.0,-0.016055657471135767,-0.015789073521786077,-0.04147834582236445,-0.013898170000000013,-0.002571541392679115,-0.05332500000000005,cross_game,95,100
629,946,725651.6499999999,0.02784438918888772,0.01275039745627981,0.012718600953895072,0.014308426073131956,0.013211207206231406,0.017196413416036446,0.0046889782800000005,0.02702887,0.043864629999999995,-0.98696628,same_game,0,5
